id,category,issue,keywords,platform,description,do,dont,severity
1,components,FlatList optimization,flatlist;list;performance;getItemLayout;keyExtractor,react-native,"FlatList renders all items by default causing memory spikes on large datasets","Set getItemLayout for fixed-height items and use keyExtractor with stable unique IDs","Don't use ScrollView for dynamic lists — FlatList virtualizes offscreen items automatically",critical
2,components,ScrollView patterns,scrollview;scroll;nested;keyboard;content,react-native,"ScrollView renders all children at once — inappropriate for long dynamic content","Use ScrollView for short static content and FlatList or SectionList for dynamic lists","Don't nest ScrollViews in the same scroll direction — it causes scroll conflicts",high
3,components,SafeAreaView,safe-area;notch;inset;edge;status-bar,react-native,"SafeAreaView from React Native only works on iOS and doesn't handle all edge cases","Use react-native-safe-area-context for cross-platform safe area inset handling","Don't use the built-in SafeAreaView — it lacks Android support and dynamic insets",critical
4,components,Platform-specific code,platform;ios;android;select;file-extension,react-native,"Platform-specific logic scattered through components creates unmaintainable spaghetti code","Use Platform.select for small differences and .ios.tsx/.android.tsx files for major divergence","Don't litter components with Platform.OS === ios ternaries — extract platform logic cleanly",medium
5,components,Pressable vs TouchableOpacity,pressable;touchable;press;feedback;interaction,react-native,"TouchableOpacity is legacy — Pressable is the modern composable alternative","Use Pressable with style function for press states — it supports hover and focus too","Don't use TouchableOpacity or TouchableHighlight in new code — Pressable replaces them all",high
6,components,Image component,image;source;cache;loading;placeholder;fast-image,react-native,"The default Image component lacks caching and progressive loading on Android","Use expo-image or react-native-fast-image for disk caching and placeholder support","Don't load remote images without a caching layer — it re-downloads on every mount",high
7,components,Text component nesting,text;nesting;span;inline;style;typography,react-native,"Text in React Native doesn't support all CSS text properties and nesting has rules","Nest Text components for inline styling like bold spans within paragraphs","Don't place View components inside Text — only Text can be nested inside Text",high
8,components,Custom hooks,hooks;custom;reusable;logic;composition;abstraction,react-native,"Duplicated stateful logic across components leads to inconsistency and bugs","Extract shared logic into custom hooks with clear naming like useDeviceOrientation","Don't duplicate useEffect patterns across components — extract into a named custom hook",medium
9,styling,StyleSheet.create,stylesheet;create;style;object;performance;cache,react-native,"Inline style objects are recreated on every render causing unnecessary work","Define styles with StyleSheet.create outside the component for cached references","Don't pass inline style objects to components — they create new references each render",high
10,styling,Flex patterns,flex;layout;direction;grow;shrink;basis,react-native,"React Native defaults to flexDirection column unlike web CSS which defaults to row","Set flexDirection explicitly and use flex: 1 for expanding children in containers","Don't assume web flex defaults — React Native flex works differently from CSS flexbox",high
11,styling,Responsive dimensions,dimensions;screen;window;responsive;breakpoint;scale,react-native,"Fixed pixel dimensions break on different screen densities and device sizes","Use useWindowDimensions hook or percentage-based flex layouts for responsive sizing","Don't hardcode pixel widths — use Dimensions or flex ratios for cross-device compatibility",critical
12,styling,Theming,theme;provider;context;tokens;design-system;dynamic,react-native,"Hardcoded colors and spacing throughout the app make theming and updates impossible","Create a theme provider with design tokens accessed via useTheme hook","Don't hardcode hex colors or magic numbers — use theme tokens for all visual values",critical
13,styling,Dark mode,dark-mode;appearance;color-scheme;system;toggle,react-native,"Dark mode requires systematic color management not just inverting colors","Use useColorScheme hook and define complete light/dark token sets in your theme","Don't invert colors or use opacity to fake dark mode — define explicit dark palette tokens",high
14,styling,Platform-specific styles,platform;style;ios;android;shadow;elevation,react-native,"Shadows and elevation work completely differently on iOS and Android","Use Platform.select in StyleSheet for shadows (iOS) and elevation (Android)","Don't use box-shadow syntax — iOS uses shadow* properties and Android uses elevation",high
15,navigation,React Navigation setup,react-navigation;navigator;screen;stack;linking,react-native,"Incorrect navigation setup causes memory leaks and broken deep links","Configure NavigationContainer with linking config and type-safe route params","Don't create navigators inside components — define navigation structure statically",critical
16,navigation,Deep linking,deep-link;universal-link;url;scheme;routing;path,react-native,"Deep links that break on app updates frustrate users and damage retention","Configure URL scheme and universal links with path mapping in navigation linking config","Don't hardcode screen names in deep link handlers — use the navigation linking config",high
17,navigation,Tab navigation,tab;bottom;navigation;badge;icon;label,react-native,"Tab navigation must persist state across tab switches for good UX","Use createBottomTabNavigator with lazy initialization and unmountOnBlur false","Don't destroy tab screens on switch — users expect state persistence across tabs",high
18,navigation,Stack navigation,stack;push;pop;header;transition;gesture,react-native,"Stack navigation handles screen-to-screen transitions and back gesture","Use createNativeStackNavigator for native performance over JS-based stack navigator","Don't use createStackNavigator from @react-navigation/stack — native stack is faster",high
19,navigation,Drawer navigation,drawer;sidebar;hamburger;menu;gesture;slide,react-native,"Drawer navigation is common for apps with many top-level sections","Use createDrawerNavigator with custom drawer content for branding and user info","Don't nest drawer inside tab navigator — drawer should wrap the root navigation",medium
20,navigation,Modal patterns,modal;present;overlay;bottom-sheet;dismiss;gesture,react-native,"Modals presented as screens integrate better with navigation than the Modal component","Present modals as screens in stack navigator with presentation modal option","Don't use the Modal component for complex flows — use navigation modal presentation instead",medium
21,state,Zustand patterns,zustand;store;state;selector;subscribe;middleware,react-native,"Global state libraries with boilerplate like Redux add unnecessary complexity to most apps","Use Zustand with selectors to subscribe only to needed state slices avoiding full rerenders","Don't select the entire store object in components — use granular selectors for each value",high
22,state,AsyncStorage,asyncstorage;persist;storage;key-value;local,react-native,"AsyncStorage is slow for frequent reads and has a 6MB limit on Android","Use AsyncStorage for infrequent reads like user preferences and onboarding flags","Don't use AsyncStorage for data read on every render or large datasets — it's too slow",high
23,state,MMKV storage,mmkv;storage;fast;synchronous;encrypted;persist,react-native,"MMKV is 30x faster than AsyncStorage with synchronous reads and encryption support","Use react-native-mmkv for high-frequency reads and Zustand persist middleware","Don't use AsyncStorage when you need synchronous access or sub-millisecond reads",high
24,state,State persistence,persist;rehydrate;migration;version;offline,react-native,"App state lost on restart frustrates users and breaks offline-first experiences","Persist critical state with Zustand persist middleware and MMKV storage backend","Don't persist derived state or transient UI state — only persist source-of-truth data",medium
25,state,Global state scope,global;local;scope;overuse;complexity;coupling,react-native,"Putting everything in global state creates tight coupling and debugging nightmares","Limit global state to truly shared data — auth user preferences and cross-screen state","Don't put form values modal visibility or screen-local data in global state",critical
26,performance,Hermes engine,hermes;engine;bytecode;startup;jsi;turbomodules,react-native,"Hermes dramatically improves startup time and memory usage with ahead-of-time compilation","Enable Hermes in react-native.config.js — it's the default engine in React Native 0.70+","Don't disable Hermes unless you have a specific incompatibility — the benefits are substantial",critical
27,performance,Bridge optimization,bridge;serialization;batch;native;communication;jsi,react-native,"Frequent bridge crossings between JS and native cause frame drops","Batch bridge calls and prefer JSI-based libraries that bypass the bridge entirely","Don't call native methods in tight loops or animation frames — batch operations instead",high
28,performance,Memoization,memo;useMemo;useCallback;render;pure;reference,react-native,"Unnecessary rerenders are the primary cause of jank in React Native apps","Memoize expensive list item components and stabilize callback references with useCallback","Don't wrap every component in memo — profile first and memoize only where it measurably helps",high
29,performance,InteractionManager,interaction-manager;animation;defer;priority;task,react-native,"Heavy computation during animations causes frame drops and janky transitions","Defer expensive work with InteractionManager.runAfterInteractions for smooth animations","Don't run data processing or heavy state updates during screen transitions",high
30,performance,Native driver animations,native-driver;useNativeDriver;animated;transform;opacity,react-native,"JS-driven animations run on the JS thread causing frame drops during heavy computation","Set useNativeDriver true for transform and opacity animations to run on the UI thread","Don't use native driver for layout properties like width or height — they're not supported",critical
31,performance,Image caching,image;cache;memory;disk;prefetch;thumbnail,react-native,"Uncached images re-download on every screen visit wasting bandwidth and causing flicker","Use expo-image or FastImage with disk and memory cache and prefetch upcoming images","Don't rely on default Image component caching — it's inconsistent across platforms",high
32,performance,List optimization,list;flatlist;render;window;remove-clipped;optimization,react-native,"FlatList without tuning renders too many offscreen items consuming memory","Set windowSize to 5 and maxToRenderPerBatch to 10 for balanced performance","Don't set initialNumToRender too high — it delays initial list display on slow devices",critical
33,performance,Memory leaks,memory;leak;listener;subscription;cleanup;unmount,react-native,"Event listeners and subscriptions not cleaned up accumulate and crash the app","Clean up all subscriptions in useEffect cleanup — event listeners timers and observers","Don't add event listeners or subscriptions without corresponding removal on unmount",critical
34,animations,Reanimated 3,reanimated;worklet;shared-value;ui-thread;animated-style,react-native,"React Native Animated API is limited and runs on the JS thread causing frame drops","Use react-native-reanimated 3 with useSharedValue and useAnimatedStyle for UI thread animations","Don't use the legacy Animated API for complex animations — Reanimated is faster and more capable",critical
35,animations,Gesture handler,gesture;handler;pan;pinch;rotation;simultaneous,react-native,"Touch handling in React Native is limited without native gesture recognition","Use react-native-gesture-handler with Reanimated for performant gesture-driven animations","Don't use PanResponder for complex gestures — Gesture Handler runs on the native thread",high
36,animations,Layout animations,layout;entering;exiting;transition;animate-presence,react-native,"Adding or removing items from lists without animation feels jarring and disorienting","Use Reanimated layout animations with entering and exiting props for smooth transitions","Don't manually calculate positions for enter/exit animations — use layout animation presets",medium
37,animations,Shared element transitions,shared-element;transition;hero;navigation;morph,react-native,"Shared element transitions connect screens visually and improve perceived performance","Use react-native-shared-element or React Navigation 7 shared transitions for hero animations","Don't fake shared transitions with opacity crossfades — use actual shared element libraries",medium
38,animations,Spring animations,spring;physics;bounce;damping;stiffness;natural,react-native,"Linear timing animations feel robotic and unnatural compared to spring physics","Use withSpring with appropriate damping and stiffness values for natural motion","Don't use linear or ease-in-out timing for interactive animations — springs feel more natural",medium
