id,category,issue,keywords,platform,description,do,dont,severity
1,accessibility,Touch target sizing,touch;target;tap;size;44px;wcag,mobile,"Minimum 44x44px touch targets per WCAG 2.5.5","Use minHeight: 44 and minWidth: 44 for all interactive elements","Don't use small tap targets under 44px — causes misclicks on mobile",critical
2,accessibility,Screen reader support,accessibility;aria;label;screen-reader;voiceover;talkback,mobile,"All interactive elements must have accessible labels","Add aria-label or accessibilityLabel to icon buttons and images","Don't use empty buttons or images without alt text",critical
3,accessibility,Color contrast on mobile,contrast;wcag;sunlight;outdoor;readability,mobile,"Mobile screens in sunlight need higher contrast","Use 7:1 contrast ratio for outdoor-use apps","Don't rely on subtle color differences for critical information",high
4,accessibility,Haptic feedback,haptics;vibration;feedback;tactile,ios;android,"Haptic feedback confirms actions without visual dependency","Use haptic feedback for success/error states and toggles","Don't overuse haptics — reserve for meaningful interactions",medium
5,touch,Swipe gestures,swipe;gesture;discoverable;alternative;action,mobile,"Swipe gestures need discoverable alternatives","Provide visible buttons alongside swipe actions","Don't hide critical actions behind undiscoverable gestures",high
6,touch,Pull to refresh,pull;refresh;loading;list;scroll,mobile,"Standard mobile pattern for refreshing content","Implement pull-to-refresh on list views with loading indicator","Don't use pull-to-refresh on non-list views or forms",medium
7,touch,Long press menus,long-press;context-menu;press-hold;action,mobile,"Long press actions need visual cues","Show a subtle press indicator and provide alternative access via icon","Don't make long press the only way to access actions",medium
8,touch,Bottom sheet navigation,bottom-sheet;modal;picker;thumb;menu,mobile,"Bottom sheets are thumb-friendly on large phones","Use bottom sheets for contextual menus and pickers","Don't use full-screen modals for simple selections",medium
9,navigation,Tab bar patterns,tab-bar;bottom-nav;tabs;icons;navigation,mobile,"Bottom tab bar is the primary mobile navigation","Limit to 5 tabs maximum with clear icons and labels","Don't use more than 5 tabs or icon-only tabs without labels",critical
10,navigation,Back navigation,back;navigation;gesture;hardware;history,mobile,"Predictable back behavior prevents user frustration","Support hardware back button and gesture-based back navigation","Don't override system back behavior unexpectedly",high
11,navigation,Deep linking,deep-link;universal-link;app-link;url;routing,mobile,"Deep links must resolve to correct screen state","Implement universal links (iOS) and app links (Android)","Don't break deep links when refactoring navigation",high
12,navigation,Search placement,search;discovery;content;header;findability,mobile,"Search should be prominent on content-heavy apps","Place search in header or as first scrollable element","Don't bury search in hamburger menus on content apps",medium
13,forms,Keyboard types,keyboard;input;email;numeric;phone;autofill,mobile,"Correct keyboard type reduces input friction","Use email keyboard for email fields numeric for phone numbers","Don't use default keyboard for specialized input types",high
14,forms,Form field focus,keyboard;scroll;focus;input;visibility,mobile,"Auto-scroll to focused field prevents content hiding","Scroll form field into view above keyboard when focused","Don't let keyboard cover active input fields",critical
15,forms,Inline validation,validation;error;feedback;blur;real-time,mobile,"Real-time validation reduces form abandonment","Validate on blur and show inline error messages","Don't wait until form submission to show all errors",medium
16,forms,Auto-fill support,autofill;autocomplete;prefill;typing;input,mobile,"Auto-fill reduces typing on small keyboards","Support auto-fill for name email address and payment fields","Don't disable auto-fill or use custom input implementations that break it",medium
17,performance,Image optimization,image;lazy-load;srcset;responsive;bandwidth,mobile,"Mobile networks require optimized image loading","Use responsive images with srcset and lazy loading","Don't load full-resolution images on mobile connections",critical
18,performance,Skeleton loading,skeleton;placeholder;loading;perceived;content,mobile,"Content placeholders reduce perceived load time","Show skeleton screens that match actual content layout","Don't use generic spinners for content-heavy screens",high
19,performance,Offline support,offline;cache;connectivity;network;graceful,mobile,"Mobile users frequently lose connectivity","Cache critical data and show offline state gracefully","Don't show blank screens or error pages when offline",high
20,performance,Animation performance,animation;jank;gpu;transform;opacity;60fps,mobile,"Janky animations feel worse on mobile","Use transform and opacity for animations — they're GPU accelerated","Don't animate layout properties like width height or margin",high
21,typography,Mobile type scale,font-size;body;zoom;16px;readability,mobile,"Body text under 16px causes zoom on iOS Safari","Use minimum 16px body text and 14px for secondary text","Don't use body text smaller than 14px on mobile",critical
22,typography,Line length for mobile,line-length;characters;reading;width;measure,mobile,"Optimal mobile reading requires shorter line lengths","Target 35-50 characters per line on mobile screens","Don't let text span the full width on tablets without max-width",medium
23,typography,Dynamic type,dynamic-type;accessibility;font-scaling;ios;text-size,ios,"iOS Dynamic Type respects user accessibility preferences","Support Dynamic Type scaling for all text elements","Don't use fixed font sizes that ignore system settings",high
24,layout,Safe areas,safe-area;notch;home-indicator;inset;edge,mobile,"Notches and home indicators need safe area handling","Use safe area insets for all edge content","Don't place interactive elements in unsafe areas near notch or home bar",critical
25,layout,Landscape support,landscape;orientation;rotation;responsive;adaptive,mobile,"Some users rotate devices — handle it gracefully","Support landscape or lock orientation explicitly","Don't let layout break in landscape without explicitly locking portrait",medium
26,layout,Thumb zones,thumb;reachability;ergonomics;one-hand;bottom,mobile,"Lower screen areas are easiest to reach with one hand","Place primary actions in the bottom third of the screen","Don't put frequently used actions at the top of the screen",high
27,layout,Card-based layouts,card;container;grouping;content;elevation,mobile,"Cards are the standard mobile content container","Use cards with consistent padding radius and shadow from design tokens","Don't use bare content blocks without visual grouping on mobile",medium
28,ui-patterns,Status bar styling,status-bar;theme;appearance;ios;android,mobile,"Status bar should match app theme for polished feel","Set status bar style to match current screen background color","Don't use light status bar on light backgrounds — text becomes invisible",medium
29,ui-patterns,Loading states,loading;spinner;progress;async;feedback,mobile,"Every async action needs a loading state","Show contextual loading indicators near the trigger action","Don't use full-screen blocking loaders for partial content updates",high
30,ui-patterns,Empty states,empty;zero-data;onboarding;placeholder;guidance,mobile,"First-time and zero-data screens need guidance","Design empty states with illustration action button and clear message","Don't show blank screens — always provide next-step guidance",medium
