id,name,type,description,best_for,data_type,min_data_points,max_data_points,palette_tokens,accessibility_notes
1,Line Chart,trend,"Continuous data points connected by lines showing trends over time","Time series;Trends;Performance over time",continuous,5,100,"chart-1;chart-2;chart-3","Use distinct patterns in addition to colors. Provide data table alternative."
2,Area Chart,trend,"Filled line chart showing volume and trends","Volume over time;Cumulative totals;Revenue growth",continuous,5,100,"chart-1;chart-2;chart-3","Use semi-transparent fills. Stacked areas can obscure data — use sparingly."
3,Bar Chart (Vertical),comparison,"Vertical bars comparing discrete categories","Category comparison;Rankings;Survey results",categorical,2,20,"chart-1;chart-2;chart-3;chart-4","Ensure adequate spacing between bars. Use consistent bar width."
4,Bar Chart (Horizontal),comparison,"Horizontal bars — better for long labels","Long category names;Rankings;Survey results",categorical,2,30,"chart-1;chart-2;chart-3;chart-4","Horizontal bars are better when labels are long. Sort by value for rankings."
5,Stacked Bar Chart,composition,"Bars subdivided to show part-to-whole within categories","Part-to-whole comparison;Budget breakdown;Category composition",categorical,2,10,"chart-1;chart-2;chart-3;chart-4;chart-5","Limit to 5-6 segments. Use consistent color mapping. Provide legend."
6,Grouped Bar Chart,comparison,"Side-by-side bars for comparing subcategories","Comparing subcategories;Before/after;A/B comparison",categorical,2,10,"chart-1;chart-2;chart-3;chart-4","Limit to 3-4 groups. Use consistent grouping. Label clearly."
7,Pie Chart,composition,"Circular chart showing proportional data","Simple proportions;Market share;Budget allocation",proportional,2,6,"chart-1;chart-2;chart-3;chart-4;chart-5","Limit to 5-6 slices. Never use 3D. Include percentage labels."
8,Donut Chart,composition,"Pie chart with center cutout for key metric display","KPI with breakdown;Progress with detail;Summary metric",proportional,2,6,"chart-1;chart-2;chart-3;chart-4;chart-5","Center metric provides context. Same slice limit as pie chart."
9,Scatter Plot,correlation,"Data points plotted by two variables showing correlation","Correlation analysis;Distribution patterns;Outlier detection",bivariate,10,1000,"chart-1;chart-2;chart-3","Use distinct shapes for categories. Ensure adequate point size for clickability."
10,Bubble Chart,correlation,"Scatter plot with size as third variable","Three-variable comparison;Market analysis;Portfolio overview",trivariate,5,50,"chart-1;chart-2;chart-3","Size differences must be perceptible. Label key bubbles directly."
11,Heatmap,density,"Color-coded matrix showing intensity across two dimensions","Correlation matrices;Activity patterns;Geographic density",matrix,4,100,"Sequential single-hue gradient","Use sequential color scale. Provide numeric values on hover."
12,Treemap,hierarchy,"Nested rectangles showing hierarchical proportional data","Hierarchical data;File system usage;Category breakdown",hierarchical,5,100,"chart-1;chart-2;chart-3;chart-4;chart-5;chart-6","Labels must be readable. Limit depth to 2-3 levels."
13,Radar/Spider Chart,multivariate,"Multi-axis chart comparing multiple variables","Skill assessment;Product comparison;Performance profiles",multivariate,3,8,"chart-1;chart-2","Limit to 5-8 axes. Normalize scales. Difficult for colorblind users."
14,Funnel Chart,conversion,"Progressively narrowing stages showing conversion","Sales funnels;User journeys;Conversion rates",sequential,3,8,"chart-1;chart-2;chart-3","Label each stage with count and percentage. Use consistent color coding."
15,Gauge/Meter,single-metric,"Semi-circular or circular meter showing single KPI against target","KPI tracking;Performance scores;Utilization rates",single-value,1,1,"chart-1 with neutral background","Include numeric value. Color-code zones (red/yellow/green)."
16,Sparkline,trend-compact,"Tiny inline chart showing trends without axes","Compact trend display;Table cell trends;Inline metrics",continuous,5,50,"chart-1","No interactivity needed. Include start/end values for context."
17,Waterfall Chart,composition,"Bars showing incremental positive/negative changes","Financial statements;Budget changes;Sequential impact",sequential,3,15,"chart-1 for positive;chart-5 for negative","Color-code positive and negative. Show running total."
18,Sankey Diagram,flow,"Flow diagram showing quantity transfers between stages","User flows;Budget allocation;Energy distribution",flow,3,20,"chart-1;chart-2;chart-3;chart-4;chart-5","Maintain consistent flow direction. Label all nodes and significant flows."
19,Candlestick Chart,financial,"OHLC chart showing open/high/low/close financial data","Stock prices;Currency exchange;Financial analysis",financial,20,500,"chart-1 for up;chart-5 for down","Use standard green/red convention. Include volume bar below."
20,Timeline,temporal,"Horizontal timeline showing events chronologically","Project milestones;History;Roadmaps",temporal,3,30,"chart-1;chart-2;chart-3","Ensure adequate spacing. Group dense periods. Use clear date labels."
21,KPI Card,metric,"Single large metric with comparison and trend indicator","Dashboard KPIs;Executive summaries;At-a-glance metrics",single-value,1,1,"brand-primary for metric;success/error for trend","Large readable number. Include comparison period. Color-code trend direction."
22,Progress Ring,completion,"Circular progress indicator with percentage","Goal tracking;Upload progress;Completion rates",percentage,1,1,"brand-primary for fill;bg-tertiary for track","Include percentage label. Use brand color for fill."
23,Small Multiples,comparison,"Repeated small charts with same scale for comparison","Comparing many categories;Regional comparison;Time period comparison",multi-series,3,20,"Single color per chart","Maintain identical scales. Label each clearly. Limit to 12 charts."
24,Box Plot,distribution,"Statistical chart showing median quartiles and outliers","Distribution analysis;Comparing distributions;Statistical comparison",statistical,5,1000,"chart-1;chart-2;chart-3","Label median and quartile values. Explain to non-statistical audiences."
25,Histogram,distribution,"Bars showing frequency distribution of continuous data","Distribution shape;Age ranges;Price ranges",continuous,10,1000,"chart-1","Choose appropriate bin width. Label axes clearly. Show count or percentage."
