id,name,category,description,palette,bg_treatment,border_treatment,shadow_treatment,typography_treatment,animation_treatment,best_for,avoid_for
1,Clean Minimal,minimal,Restrained use of color and decoration. Content-first approach.,minimal-saas,solid-white,subtle-gray,light-sm,sans-serif-regular,subtle-fade,"saas;dashboards;productivity;healthcare","fashion;gaming;entertainment"
2,Flat Design,minimal,No shadows or gradients. Pure color blocks with clean edges.,minimal-saas,flat-solid,thin-gray,none,sans-serif-medium,minimal,"apps;productivity;education","luxury;premium;corporate"
3,Material Design,minimal,Google's design language. Subtle shadows and bold color accents.,minimal-saas,white-layered,none,md-elevation,sans-serif-medium,material-motion,"android-apps;dashboards;productivity","fashion;editorial;luxury"
4,Swiss Design,minimal,Grid-based layouts with strong typography hierarchy.,minimal-corporate,white-clean,none,none,sans-serif-bold-headlines,none,"corporate;publishing;portfolios","playful;gaming;kids"
5,Scandinavian,minimal,Airy whitespace with warm neutral tones.,apple-minimal,warm-white,hairline,subtle-sm,elegant-sans,gentle-fade,"furniture;wellness;lifestyle;premium","data-dense;gaming;crypto"
6,Japanese Minimal,minimal,Zen-inspired simplicity with careful negative space.,apple-minimal,off-white,none,none,refined-sans,subtle-fade,"wellness;architecture;luxury","data-heavy;social;ecommerce"
7,Apple Refined,premium,Apple-inspired precision with smooth transitions.,apple-minimal,pure-white,none,smooth-lg,sf-pro-style,smooth-spring,"consumer-tech;premium;lifestyle","data-dense;enterprise;industrial"
8,Glassmorphism,modern,Frosted glass effect with blur backgrounds.,gradient-startup,glass-blur,frosted-border,glow-subtle,sans-modern,smooth-fade,"landing-pages;marketing;fintech","accessibility-first;enterprise;government"
9,Neomorphism,modern,Soft-raised elements with inset/outset shadows.,minimal-saas,soft-gray,none,neu-shadow,rounded-sans,subtle-hover,"concept-design;creative;portfolios","data-heavy;enterprise;accessibility"
10,Gradient Bold,modern,Vibrant gradient backgrounds and bold CTAs.,gradient-startup,gradient-hero,none,glow-lg,bold-sans,dynamic-entrance,"startups;marketing;social;events","enterprise;healthcare;government;legal"
11,Gradient Mesh,modern,Complex multi-point gradient meshes as backgrounds.,gradient-startup,mesh-gradient,none,none,bold-modern,mesh-float,"landing-pages;creative;tech","data-dense;enterprise;accessibility"
