id,name,industry,primary,secondary,accent,bg_primary,bg_secondary,text_primary,mood,wcag_aa,palette_match
1,Classic Blue Trust,finance,#1A365D,#2B6CB0,#4299E1,#FFFFFF,#F7F8FA,#1A202C,trustworthy-stable,yes,corporate
2,Navy Professional,legal,#0F2B46,#1A4B7A,#3B82F6,#FFFFFF,#F8F9FB,#111827,authoritative-professional,yes,corporate
3,Royal Blue Enterprise,enterprise,#1E3A5F,#2D5F8B,#4A90D9,#FFFFFF,#F5F7FA,#1C2D3F,corporate-reliable,yes,corporate
4,Deep Teal Corporate,consulting,#0D4F4F,#157575,#2AA1A1,#FFFFFF,#F5FAFA,#0A3333,sophisticated-calm,yes,corporate
5,Slate Gray Formal,government,#374151,#4B5563,#6B7280,#FFFFFF,#F9FAFB,#111827,neutral-formal,yes,corporate
6,Electric Blue SaaS,saas,#2563EB,#3B82F6,#60A5FA,#FFFFFF,#FAFAFA,#111827,modern-clean,yes,minimal-saas
7,Indigo Product,saas,#4F46E5,#6366F1,#818CF8,#FFFFFF,#F9FAFB,#1E1B4B,refined-digital,yes,minimal-saas
8,Cobalt Action,productivity,#0052CC,#2684FF,#4C9AFF,#FFFFFF,#FAFBFC,#172B4D,focused-productive,yes,minimal-saas
9,Sky Blue Friendly,education,#0284C7,#0EA5E9,#38BDF8,#FFFFFF,#F0F9FF,#0C4A6E,approachable-open,yes,minimal-saas
10,Steel Blue Neutral,dashboards,#475569,#64748B,#94A3B8,#FFFFFF,#F8FAFC,#0F172A,analytical-neutral,yes,dashboard
11,Neon Green Matrix,ai,#00FF88,#00D4FF,#8B5CF6,#0A0A0F,#111118,#E0E0EE,futuristic-electric,yes,ai-futuristic
12,Cyan Glow Tech,devtools,#00D4FF,#00B4D8,#0077B6,#0A0A12,#12121F,#E0E8F0,technical-precise,yes,ai-futuristic
13,Neon Purple Cyber,gaming,#8B5CF6,#A78BFA,#C4B5FD,#0A0A14,#141422,#E8E0F0,digital-intense,yes,ai-futuristic
14,Matrix Green,security,#00FF41,#39FF14,#7FFF00,#0D0D0D,#1A1A1A,#E0FFE0,hacker-alert,yes,ai-futuristic
15,Midnight Blue Dark,fintech,#1E3A5F,#2D5F8B,#4A90D9,#0F1117,#1A1F2E,#E0E4EB,premium-dark,yes,ai-futuristic
16,Violet Startup,startups,#7C3AED,#8B5CF6,#A78BFA,#FFFFFF,#FAF5FF,#2E1065,creative-bold,yes,gradient-startup
17,Hot Pink Energy,marketing,#EC4899,#F472B6,#F9A8D4,#FFFFFF,#FFF1F2,#831843,energetic-vibrant,yes,gradient-startup
18,Coral Warm,lifestyle,#F97316,#FB923C,#FDBA74,#FFFFFF,#FFF7ED,#7C2D12,warm-inviting,yes,gradient-startup
19,Sunset Gradient,events,#F59E0B,#EF4444,#8B5CF6,#FFFFFF,#FFFBEB,#78350F,exciting-dynamic,yes,gradient-startup
20,Emerald Fresh,wellness,#10B981,#34D399,#6EE7B7,#FFFFFF,#ECFDF5,#064E3B,natural-healthy,yes,gradient-startup
21,Apple Blue Premium,consumer-tech,#0071E3,#0077ED,#147CE5,#FFFFFF,#FBFBFD,#1D1D1F,premium-precise,yes,apple-minimal
22,Space Gray Apple,premium,#1D1D1F,#515154,#6E6E73,#FFFFFF,#F5F5F7,#1D1D1F,refined-subtle,yes,apple-minimal
