id,name,category,description,sections,hero_variant,cta_style,palette_match,best_for
1,SaaS Product Launch,saas,"Clean conversion-focused landing with product screenshots","hero;social-proof;features-3col;product-showcase;how-it-works;testimonials;pricing;cta;footer",product-screenshot,gradient-button,minimal-saas,"SaaS products;B2B tools;Productivity apps"
2,AI Product Launch,ai,"Dark futuristic landing with code demos and technical proof","hero;social-proof;features-3col;code-demo;architecture-diagram;testimonials;pricing;cta;footer",gradient-mesh,glow-button,ai-futuristic,"AI products;Developer tools;API services"
3,Startup MVP,startup,"High-energy gradient landing with bold typography","hero;social-proof;features-4col;product-video;testimonials;pricing;newsletter;footer",centered-text,gradient-cta,gradient-startup,"Startups;MVP launches;Product Hunt launches"
4,Enterprise Solution,enterprise,"Conservative professional landing with trust signals","hero;client-logos;features-3col;case-studies;security-badges;testimonials;contact-form;footer",split-text-image,solid-button,corporate,"Enterprise software;B2B enterprise;Consulting"
5,Mobile App Launch,mobile,"App-focused landing with device mockups and app store badges","hero;app-preview;features-icon;social-proof;testimonials;download-cta;footer",phone-mockup,app-store-badges,gradient-startup,"Mobile apps;Consumer apps;App launches"
6,E-commerce Brand,ecommerce,"Product-focused landing with lifestyle imagery","hero;featured-products;brand-story;testimonials;instagram-feed;newsletter;footer",video-background,shop-now-button,bold-lifestyle,"Fashion brands;D2C brands;Lifestyle products"
7,Course/Education,education,"Friendly approachable landing with curriculum overview","hero;instructor-bio;curriculum-accordion;social-proof;testimonials;pricing;faq;footer",centered-text,enroll-button,illustration,"Online courses;Bootcamps;Educational platforms"
8,Nonprofit/Cause,nonprofit,"Warm emotional landing with impact metrics","hero;impact-stats;mission-story;beneficiary-testimonials;donation-cta;volunteer-form;footer",centered-text,donate-button,illustration,"Nonprofits;Charities;Social causes"
9,Agency/Portfolio,agency,"Bold creative landing showcasing work samples","hero;selected-work;services;process;testimonials;contact-cta;footer",split-text-image,contact-button,bold-lifestyle,"Design agencies;Creative studios;Freelancers"
10,Event/Conference,event,"Exciting dynamic landing with speaker lineup and schedule","hero;speakers-grid;schedule;sponsors;tickets;venue-info;footer",video-background,register-button,gradient-startup,"Conferences;Meetups;Workshops;Summits"
11,Restaurant/Food,food,"Appetizing landing with menu highlights and reservations","hero;menu-highlights;about-story;testimonials;gallery;reservation-form;footer",video-background,reserve-button,bold-lifestyle,"Restaurants;Cafes;Food brands"
12,Real Estate,realestate,"Property-focused landing with search and listings","hero-search;featured-listings;neighborhood-guide;testimonials;agent-cta;footer",search-forward,search-button,apple-minimal,"Real estate agencies;Property listings;Rental platforms"
13,Healthcare/Clinic,healthcare,"Calming professional landing with service information","hero;services;doctors-grid;testimonials;insurance-info;appointment-cta;footer",split-text-image,book-appointment,minimal-saas,"Clinics;Hospitals;Telehealth;Dental"
14,Finance/Fintech,finance,"Trust-focused landing with security emphasis","hero;trust-badges;features;security-section;testimonials;pricing;cta;footer",split-text-image,get-started-button,corporate,"Fintech apps;Banking;Investment platforms"
15,Developer API,developer,"Technical landing with code samples and documentation links","hero;code-examples;features;pricing;docs-link;community;footer",code-hero,api-key-cta,ai-futuristic,"API products;Developer tools;SDKs"
16,Crypto/Web3,crypto,"Dark immersive landing with token metrics and roadmap","hero;token-stats;features;roadmap-timeline;team;community;footer",gradient-mesh,connect-wallet,ai-futuristic,"Crypto projects;DeFi;NFT platforms"
17,Photography/Creative,creative,"Minimal elegant landing with full-bleed imagery","hero;portfolio-grid;about;services;testimonials;contact;footer",video-background,view-work-button,apple-minimal,"Photographers;Artists;Creative portfolios"
18,Fitness/Wellness,fitness,"Energetic landing with transformation stories","hero;program-features;transformation-gallery;trainer-bio;pricing;cta;footer",video-background,start-today-button,gradient-startup,"Fitness apps;Gyms;Wellness brands"
19,Legal/Professional,legal,"Conservative authoritative landing with expertise showcase","hero;practice-areas;team;case-results;testimonials;consultation-form;footer",split-text-image,consultation-button,minimal-corporate,"Law firms;Consulting;Professional services"
20,Kids/Family,kids,"Playful colorful landing with illustrated elements","hero;features-illustrated;safety-info;parent-testimonials;pricing;faq;footer",centered-text,try-free-button,illustration,"Kids apps;Family services;Educational games"
21,Music/Entertainment,music,"Immersive dark landing with media-rich content","hero;featured-content;artist-spotlight;playlists;social-feed;download-cta;footer",video-background,listen-now-button,ai-futuristic,"Music platforms;Streaming;Entertainment"
22,Travel/Tourism,travel,"Adventurous vibrant landing with destination imagery","hero-search;destinations-grid;deals;testimonials;travel-guide;newsletter;footer",search-forward,explore-button,gradient-startup,"Travel agencies;Booking platforms;Tourism boards"
23,Productivity Tool,productivity,"Clean focused landing emphasizing workflow improvement","hero;before-after;features;integrations;testimonials;pricing;cta;footer",product-screenshot,start-free-button,minimal-saas,"Productivity apps;Project tools;Collaboration"
24,Wedding/Events,wedding,"Elegant romantic landing with beautiful imagery","hero;story;details;gallery;rsvp-form;registry;footer",centered-text,rsvp-button,apple-minimal,"Wedding sites;Engagement;Anniversary events"
25,Sustainability,sustainability,"Nature-inspired landing with impact metrics","hero;impact-dashboard;initiatives;partnerships;volunteer;donate;footer",centered-text,join-movement-button,illustration,"Green tech;Sustainability;Environmental orgs"
26,Open Source Project,developer,"Developer-focused landing with GitHub stats and contribution guide","hero;github-stats;features;code-examples;contributors;getting-started;community-links;footer",code-hero,star-on-github,ai-futuristic,"Open source libraries;Developer tools;CLI tools;SDKs"
27,Mobile App Launch,mobile,"App-centric landing with interactive device mockups and store badges","hero;app-preview;features-icon;social-proof;ratings;testimonials;download-cta;footer",phone-mockup,app-store-badges,gradient-startup,"iOS apps;Android apps;Mobile-first products;Consumer apps"
28,API Developer Portal,developer,"Technical documentation-style landing with live API playground","hero;code-playground;endpoints-table;sdks;pricing;rate-limits;community;footer",code-hero,api-key-cta,ai-futuristic,"REST APIs;GraphQL APIs;Developer platforms;API-first products"
29,NFT/Web3 Launch,crypto,"Dark immersive landing with wallet connect and token utility","hero;collection-preview;roadmap-timeline;token-utility;team;mint-cta;community;footer",gradient-mesh,connect-wallet,ai-futuristic,"NFT collections;Web3 dApps;Token launches;DAO platforms"
30,Community Platform Launch,social,"Inclusive vibrant landing emphasizing member-driven content","hero;community-stats;features;member-spotlight;testimonials;join-cta;events;footer",centered-text,join-community-button,gradient-startup,"Online communities;Forums;Discord alternatives;Social platforms"
31,Podcast Launch,media,"Audio-focused landing with episode player and subscription options","hero;featured-episodes;host-bio;topics;testimonials;subscribe-cta;sponsors;footer",centered-text,listen-now-button,minimal-saas,"Podcasts;Audio shows;Interview series;Audio content"
32,Online Course Launch,education,"Learning-focused landing with curriculum breakdown and instructor credentials","hero;instructor-bio;curriculum-accordion;learning-outcomes;social-proof;testimonials;pricing;faq;footer",centered-text,enroll-button,illustration,"Online courses;Cohort programs;Bootcamps;Workshops"
33,Restaurant/Local Business,hospitality,"Appetizing local business landing with menu and reservation integration","hero;menu-highlights;about-story;gallery;testimonials;location-map;reservation-form;footer",video-background,reserve-button,bold-lifestyle,"Restaurants;Cafes;Bakeries;Local shops;Bars"
34,Agency Portfolio,creative,"Bold creative landing with case study showcases and process overview","hero;selected-work;services;process-steps;team;testimonials;contact-cta;footer",split-text-image,start-project-button,bold-lifestyle,"Design agencies;Development studios;Marketing agencies;Creative firms"
35,Newsletter/Content,media,"Content-focused landing with archive previews and subscriber social proof","hero;featured-editions;topics;author-bio;subscriber-count;testimonials;subscribe-cta;footer",centered-text,subscribe-button,minimal-saas,"Newsletters;Substacks;Content creators;Email publications"
