id,name,slug,category,description,section_order,key_components,responsive_strategy,best_for,dont_use_for
1,Homepage,homepage,page-template,"Full marketing homepage with hero-to-footer section flow","navigation;hero;social-proof;feature-grid;product-showcase;how-it-works;testimonials;pricing;cta-section;footer","navigation;hero;social-proof;feature-card;testimonial;pricing-table;button;footer","Sections stack vertically on mobile. Feature grid collapses from 3-4 columns to 1. Hero image scales or stacks below text.","Marketing sites;Landing pages;Product launches","Interior pages;Dashboard UIs;Documentation"
2,Responsive Grid,responsive-grid,layout,"12-column responsive grid system with breakpoint-specific column counts","12-col-desktop;8-col-tablet;4-col-mobile","feature-card;data-table;testimonial","Desktop: 12 columns 24px gutter. Tablet: 8 columns 16px gutter. Mobile: 4 columns 16px gutter.","All page layouts;Feature grids;Content organization","Single-column content like blog posts"
3,Animation Patterns,animation-patterns,interaction,"Scroll reveal stagger and hover lift animation patterns","scroll-reveal;staggered-children;hover-lift;parallax","feature-card;hero;testimonial","Reduce all animations to opacity-only for prefers-reduced-motion.","Landing pages;Marketing sites;Showcase sections","Data-dense dashboards;Government portals"
4,Form,form,page-template,"Vertical stack of labeled inputs with consistent spacing and validation","label-input-pairs;section-groups;submit-area","input;select;checkbox;radio;toggle;button;alert","Single column. Submit button full-width on mobile. Max-width 640px.","Contact forms;Sign up;Checkout;Settings input","Display-only data;Navigation"
5,Authentication,authentication,page-template,"Sign in sign up and password reset flows with centered card layout","logo;social-login;divider;form-fields;submit;links","input;button;toggle;modal","Centered card max-width 420px. Stacks naturally on all viewports.","Login;Registration;Password reset;Email verification","In-app settings;Profile editing"
6,Dashboard,dashboard,page-template,"Side navigation plus header bar plus content area for data-rich apps","sidebar;header;stat-cards;data-table;charts","side-navigation;data-table;tabs;badge;breadcrumb;toast;pagination","Sidebar collapses to icons at 1024px then off-canvas at 768px. Stat cards collapse from 4-col to 2-col to 1-col.","Admin panels;Analytics;CRM;Project management","Marketing sites;Landing pages;Portfolios"
7,Empty State,empty-state,component-pattern,"Centered illustration or icon with headline description and action button","illustration;headline;description;action-button;secondary-link","button;avatar;badge","Naturally centered and responsive at all sizes.","First-time users;Empty search results;Error states;No permissions","Content-rich pages;Dashboard with data"
8,Settings Page,settings-page,page-template,"Sidebar sub-navigation plus form content area for app settings","settings-nav;section-headers;toggle-settings;input-settings;destructive-zone","toggle;input;select;button;alert;tabs","Settings nav becomes top tabs on mobile. Content single-column at all sizes. Max-width 768px.","App settings;Account management;Preferences;Configuration","Public-facing pages;Marketing"
9,Pricing Page,pricing-page,page-template,"Pricing tiers with comparison toggle and feature lists","toggle;pricing-cards;feature-comparison;faq;cta","pricing-table;button;toggle;accordion;badge","Cards stack to single column on mobile. Toggle stays centered. FAQ accordion below.","SaaS pricing;Subscription products;Plan comparison","Enterprise custom pricing;Free-only products"
10,Blog Layout,blog-layout,page-template,"Narrow centered content column with optional sidebar","header;content;sidebar;related-posts;comments;footer","navigation;breadcrumb;footer;accordion;tabs","Content max-width 768px centered. Sidebar stacks below content on mobile.","Blog posts;Articles;Documentation;Long-form content","Product pages;Dashboards;Galleries"
11,Product Detail,product-detail,page-template,"Split layout with product images and purchase details","image-gallery;product-info;variants;add-to-cart;reviews;related","button;badge;tabs;accordion;breadcrumb;select;input","Images and info stack vertically on mobile. Gallery becomes horizontal scroll.","E-commerce product pages;Service detail pages","Category browsing;Search results"
12,Search Results,search-results,page-template,"Filtered list or grid of search results with faceted navigation","search-bar;active-filters;sort;results-grid;pagination","input;badge;select;pagination;feature-card;breadcrumb","Filters collapse to drawer on mobile. Grid collapses from multi-column to single.","E-commerce search;Directory listings;Content search","Simple lists;Dashboard data"
13,Onboarding,onboarding,flow-pattern,"Multi-step wizard with progress indicator and contextual guidance","progress-stepper;step-content;navigation-buttons;skip-option","progress-indicator;button;input;modal;toast","Steps stack naturally. Progress indicator stays at top. Full-width buttons on mobile.","User onboarding;Setup wizards;Multi-step forms","Simple single-page forms;Returning user flows"
14,Error Page,error-page,page-template,"Branded error page with helpful navigation back to working state","error-illustration;error-code;message;action-buttons;search","button;input;navigation","Centered layout works at all sizes.","404 Not Found;500 Server Error;403 Forbidden;Maintenance","In-app error states — use Alert or Toast"
15,Notification Center,notification-center,component-pattern,"Dropdown or sidebar panel showing notification list with read/unread states","trigger-badge;notification-list;mark-read;empty-state;settings-link","dropdown;badge;avatar;toast;button","Dropdown becomes full-screen sheet on mobile.","Apps with notifications;Activity feeds;Social platforms","Simple apps without notification needs"
