id,category,issue,keywords,platform,description,do,dont,severity
1,async,Waterfall requests,waterfall;sequential;fetch;loading;cascade,react,"Sequential API calls multiply load time and block rendering","Parallelize independent requests with Promise.all or concurrent queries","Don't chain fetch calls sequentially when data is independent",critical
2,async,Parallel data fetching,parallel;concurrent;promise-all;fetch;prefetch,react,"Fetching independent data in parallel cuts load time significantly","Use Promise.all or React Query parallel queries for independent data","Don't await each request one by one when they have no dependencies",high
3,async,Suspense boundaries,suspense;boundary;fallback;streaming;loading,react,"Suspense boundaries control loading states at component boundaries","Wrap data-fetching components with Suspense and meaningful fallbacks","Don't wrap entire app in a single Suspense boundary — use granular placement",high
4,async,React Query and SWR patterns,react-query;swr;cache;stale;revalidate,react,"Data fetching libraries handle caching deduplication and revalidation automatically","Use staleTime and cacheTime to control freshness and reduce refetches","Don't set staleTime to 0 for data that rarely changes — causes excess requests",high
5,async,Optimistic updates,optimistic;mutation;rollback;undo;instant,react,"Optimistic updates make the UI feel instant by assuming success","Apply optimistic updates for mutations and roll back on error","Don't wait for server confirmation before updating the UI for common actions",medium
6,async,Debounced search,debounce;search;typeahead;throttle;input,react,"Unbounced search fires a request per keystroke overwhelming the server","Debounce search input by 300ms and cancel in-flight requests","Don't fire API requests on every onChange event for search inputs",high
7,async,Race condition prevention,race-condition;abort;cancel;stale;cleanup,react,"Stale responses can overwrite fresh data when requests resolve out of order","Use AbortController to cancel in-flight requests on new fetches or unmount","Don't ignore cleanup — stale closures and responses cause subtle bugs",critical
8,async,Error boundaries,error-boundary;fallback;recovery;catch;resilience,react,"Unhandled errors crash the entire React tree without error boundaries","Place error boundaries around route segments and critical UI sections","Don't let a single failing widget crash the entire application",critical
9,bundle,Dynamic imports,dynamic-import;lazy;code-split;chunk;route,react,"Loading all code upfront delays initial render especially on mobile","Use React.lazy and dynamic import() for route-level code splitting","Don't import heavy components statically if they're not needed immediately",critical
10,bundle,Tree shaking,tree-shaking;dead-code;esm;sideEffects;import,react,"Importing entire libraries when you need one function bloats the bundle","Use named imports and ensure dependencies support ESM tree shaking","Don't import the entire lodash library — use lodash-es or individual imports",critical
11,bundle,Barrel file anti-patterns,barrel;index;re-export;import;module,react,"Barrel files (index.ts re-exports) defeat tree shaking and increase bundle size","Import directly from the source module path not through barrel files","Don't create index.ts files that re-export everything from a directory",high
12,bundle,Dependency analysis,bundle-analyzer;webpack;vite;size;audit,react,"Hidden large dependencies silently inflate your bundle","Run bundle analyzer regularly and set size budgets in CI","Don't add dependencies without checking their bundle impact with bundlephobia",high
13,bundle,Image optimization,image;webp;avif;next-image;responsive;compress,react,"Unoptimized images are the largest source of page weight","Use next/image or a CDN with automatic format conversion and resizing","Don't serve raw PNGs or uncompressed JPEGs — convert to WebP or AVIF",critical
14,bundle,Font loading,font;display;preload;subset;swap;cls,react,"Web fonts cause layout shift and block rendering if loaded incorrectly","Use font-display swap with preloaded font files and subset unused glyphs","Don't load entire font families — subset to only the weights and characters needed",high
15,bundle,CSS code splitting,css;split;critical;inline;above-fold;extract,react,"Loading all CSS upfront delays first contentful paint","Extract critical CSS inline and lazy-load the rest with media or async loading","Don't bundle all styles into a single CSS file for large applications",medium
16,bundle,Third-party script loading,third-party;script;analytics;defer;async;tag-manager,react,"Third-party scripts block rendering and compete for main thread time","Load third-party scripts with async or defer and delay non-essential ones","Don't place analytics or tag manager scripts in the document head without async",high
17,server,Server Components,rsc;server-component;client;boundary;use-client,react,"Server Components reduce client bundle by keeping rendering on the server","Default to Server Components and add use client only when interactivity is needed","Don't add use client to components that only render static or fetched data",critical
18,server,Streaming SSR,streaming;ssr;renderToPipeableStream;progressive;ttfb,react,"Streaming SSR sends HTML progressively reducing time to first byte","Use renderToPipeableStream with Suspense for progressive page delivery","Don't block the entire page response waiting for slow data sources",high
19,server,Incremental static regeneration,isr;revalidate;static;cache;stale,react,"ISR serves cached pages and regenerates in the background for freshness","Use revalidate with appropriate intervals based on content change frequency","Don't use SSR for pages that change infrequently — ISR is more efficient",high
20,server,API route optimization,api-route;handler;edge;cache;response,react,"API routes without caching re-execute on every request increasing TTFB","Add Cache-Control headers and use edge runtime for latency-sensitive routes","Don't run heavy computation in API routes without caching or background jobs",high
21,server,Middleware patterns,middleware;edge;redirect;rewrite;header,react,"Middleware runs on every request — heavy logic degrades all page loads","Keep middleware lightweight — use it for redirects auth checks and headers only","Don't fetch data or run business logic in middleware — it runs on every request",high
22,server,Caching headers,cache-control;cdn;stale-while-revalidate;immutable;etag,react,"Proper caching headers eliminate redundant server work and speed repeat visits","Set Cache-Control with stale-while-revalidate for dynamic and immutable for hashed assets","Don't serve dynamic content without any caching headers — every request hits origin",critical
23,server,Edge runtime,edge;runtime;latency;worker;serverless;cold-start,react,"Edge runtime reduces latency by running code closer to the user","Use edge runtime for auth middleware redirects and personalization logic","Don't use edge runtime for heavy computation or Node.js-specific APIs",medium
24,server,Server actions,server-action;form;mutation;use-server;progressive,react,"Server Actions simplify mutations by eliminating manual API endpoint creation","Use server actions for form submissions and data mutations with useActionState","Don't use server actions for read operations — they are designed for mutations",medium
25,client,useMemo and useCallback,useMemo;useCallback;memoization;reference;stable,react,"Incorrect memoization adds complexity without performance benefit","Use useMemo for expensive computations and useCallback for stable handler references","Don't memoize primitive values or cheap calculations — it adds overhead not savings",high
26,client,React.memo,memo;pure;shallow;comparison;rerender;wrapper,react,"React.memo prevents rerenders when props haven't changed via shallow comparison","Wrap components that receive the same props frequently but rerender due to parent updates","Don't use React.memo on components that almost always receive different props",high
