id,condition,field,operator,value,then_field,then_value,priority,reasoning,category
1,sector,sector,equals,finance,palette,corporate,9,"Financial services require conservative trustworthy design to build user confidence",sector-palette
2,sector,sector,equals,fintech,palette,corporate,8,"Fintech needs trust signals despite being tech-forward",sector-palette
3,sector,sector,equals,banking,palette,corporate,9,"Banking requires maximum conservatism and regulatory compliance",sector-palette
4,sector,sector,equals,insurance,palette,corporate,9,"Insurance products need stability and trust above all",sector-palette
5,sector,sector,equals,healthcare,palette,minimal-saas,8,"Healthcare UI must be calming and highly accessible",sector-palette
6,sector,sector,equals,education,palette,illustration,7,"Education benefits from friendly approachable visual language",sector-palette
7,sector,sector,equals,ai,palette,ai-futuristic,8,"AI products signal technical sophistication with dark futuristic design",sector-palette
8,sector,sector,equals,devtools,palette,ai-futuristic,8,"Developer tools use dark themes to reduce eye strain",sector-palette
9,sector,sector,equals,saas,palette,minimal-saas,7,"SaaS products default to clean minimal for broad appeal",sector-palette
10,sector,sector,equals,ecommerce,palette,minimal-saas,6,"E-commerce needs clean uncluttered product-focused design",sector-palette
11,sector,sector,equals,fashion,palette,bold-lifestyle,8,"Fashion brands need bold dramatic visual presence",sector-palette
12,sector,sector,equals,luxury,palette,apple-minimal,8,"Luxury products demand refined understated elegance",sector-palette
13,sector,sector,equals,gaming,palette,ai-futuristic,7,"Gaming platforms use immersive dark interfaces",sector-palette
14,sector,sector,equals,crypto,palette,ai-futuristic,8,"Crypto platforms signal technical credibility with dark themes",sector-palette
15,sector,sector,equals,government,palette,corporate,9,"Government portals need maximum accessibility and conservatism",sector-palette
16,sector,sector,equals,legal,palette,minimal-corporate,8,"Legal services need understated professional authority",sector-palette
17,sector,sector,equals,nonprofit,palette,illustration,7,"Nonprofits benefit from warm approachable visual language",sector-palette
18,sector,sector,equals,startup,palette,gradient-startup,7,"Startups need energetic bold visual presence to stand out",sector-palette
19,sector,sector,equals,analytics,palette,dashboard,8,"Analytics products need data-dense optimized interfaces",sector-palette
20,sector,sector,equals,marketing,palette,gradient-startup,6,"Marketing products can use vibrant engaging visuals",sector-palette
21,product,product_type,equals,dashboard,palette,dashboard,8,"Dashboards need compact data-dense optimized layouts",product-palette
22,product,product_type,equals,landing-page,palette,gradient-startup,6,"Landing pages benefit from bold visual energy",product-palette
23,product,product_type,equals,mobile-app,anti_pattern,complex-navigation,8,"Mobile apps must minimize navigation depth and complexity",product-constraint
24,product,product_type,equals,admin-panel,palette,dashboard,8,"Admin panels need efficient data-dense layouts",product-palette
25,product,product_type,equals,documentation,palette,ai-futuristic,6,"Documentation sites benefit from dark low-strain themes",product-palette
26,audience,audience,equals,developers,font_preference,monospace-accent,7,"Developers prefer monospace elements and code-style typography",audience-style
27,audience,audience,equals,children,font_size,large,9,"Children's interfaces need larger text and touch targets",audience-accessibility
28,audience,audience,equals,seniors,font_size,large,9,"Senior-focused interfaces need large readable text",audience-accessibility
29,audience,audience,equals,executives,style,conservative,8,"Executive audiences expect polished conservative design",audience-style
30,audience,audience,equals,creative,style,expressive,6,"Creative audiences appreciate bold design choices",audience-style
31,anti_pattern,sector,equals,finance,anti_pattern,playful-animations,9,"Financial UIs must not use playful bouncy animations — erodes trust",sector-anti
32,anti_pattern,sector,equals,finance,anti_pattern,neon-colors,9,"Neon colors in finance signal unprofessionalism",sector-anti
33,anti_pattern,sector,equals,finance,anti_pattern,dark-themes,7,"Dark themes in banking can feel untrustworthy to older demographics",sector-anti
34,anti_pattern,sector,equals,healthcare,anti_pattern,aggressive-colors,9,"Healthcare must avoid alarming color choices that cause anxiety",sector-anti
35,anti_pattern,sector,equals,healthcare,anti_pattern,dark-themes,7,"Dark themes in healthcare can feel clinical or unwelcoming",sector-anti
36,anti_pattern,sector,equals,healthcare,anti_pattern,complex-animations,8,"Healthcare UIs need calm predictable interactions",sector-anti
37,anti_pattern,sector,equals,education,anti_pattern,dark-themes,6,"Dark themes can feel unwelcoming for educational contexts",sector-anti
38,anti_pattern,sector,equals,education,anti_pattern,angular-designs,6,"Angular sharp designs feel cold for learning environments",sector-anti
39,anti_pattern,sector,equals,government,anti_pattern,trendy-designs,9,"Government portals must prioritize accessibility over trends",sector-anti
40,anti_pattern,sector,equals,government,anti_pattern,playful-animations,8,"Government UIs need serious professional tone",sector-anti
41,anti_pattern,sector,equals,legal,anti_pattern,playful-elements,8,"Legal services need authoritative not playful presentation",sector-anti
42,anti_pattern,sector,equals,legal,anti_pattern,bright-colors,7,"Legal UIs should use muted professional colors",sector-anti
43,anti_pattern,sector,equals,luxury,anti_pattern,busy-layouts,9,"Luxury brands need whitespace and breathing room",sector-anti
44,anti_pattern,sector,equals,luxury,anti_pattern,discount-badges,9,"Discount badges destroy luxury brand perception",sector-anti
45,anti_pattern,sector,equals,luxury,anti_pattern,playful-elements,7,"Luxury demands refinement not playfulness",sector-anti
46,anti_pattern,sector,equals,fashion,anti_pattern,corporate-styling,8,"Fashion brands must avoid corporate business aesthetics",sector-anti
47,anti_pattern,sector,equals,fashion,anti_pattern,pastel-colors,6,"Pastel colors can undermine fashion brand edge",sector-anti
48,anti_pattern,sector,equals,kids,anti_pattern,small-text,9,"Children's interfaces must use large readable text",sector-anti
49,anti_pattern,sector,equals,kids,anti_pattern,dark-themes,9,"Dark themes are inappropriate for children's products",sector-anti
50,anti_pattern,sector,equals,kids,anti_pattern,complex-navigation,9,"Children need simple direct navigation paths",sector-anti
51,component,product_type,equals,dashboard,required_components,"data-table;tabs;badge;side-navigation",8,"Dashboards need core data display and navigation components",product-component
52,component,product_type,equals,landing-page,required_components,"hero;navigation;feature-card;social-proof;footer;button",8,"Landing pages need conversion-optimized component set",product-component
53,component,product_type,equals,ecommerce,required_components,"feature-card;badge;breadcrumb;pagination;button;modal",7,"E-commerce needs product browsing and purchase components",product-component
54,component,product_type,equals,saas-app,required_components,"button;input;modal;toast;tabs;dropdown;avatar;side-navigation",8,"SaaS apps need comprehensive interaction components",product-component
55,component,product_type,equals,blog,required_components,"navigation;breadcrumb;footer;accordion;tabs",6,"Blogs need content navigation components",product-component
56,pattern,product_type,equals,landing-page,required_patterns,"homepage",8,"Landing pages follow the proven homepage pattern",product-pattern
57,pattern,product_type,equals,dashboard,required_patterns,"dashboard;settings-page",8,"Dashboard products need dashboard and settings patterns",product-pattern
58,pattern,product_type,equals,saas-app,required_patterns,"dashboard;form;authentication;settings-page;empty-state",8,"SaaS apps need comprehensive page pattern coverage",product-pattern
59,pattern,product_type,equals,ecommerce,required_patterns,"homepage;form;authentication",7,"E-commerce needs browsing and checkout patterns",product-pattern
60,wcag,audience,contains,accessibility,wcag_level,AAA,9,"Accessibility-focused products should target WCAG AAA",accessibility
61,wcag,sector,equals,government,wcag_level,AAA,9,"Government portals should target WCAG AAA compliance",accessibility
62,wcag,sector,equals,healthcare,wcag_level,AA,8,"Healthcare must meet at minimum WCAG AA compliance",accessibility
63,wcag,sector,equals,education,wcag_level,AA,8,"Education platforms must be accessible to all learners",accessibility
64,motion,sector,equals,finance,motion_level,minimal,8,"Finance UIs should minimize animation to maintain professionalism",sector-motion
65,motion,sector,equals,healthcare,motion_level,minimal,8,"Healthcare interfaces should use calm minimal motion",sector-motion
66,motion,sector,equals,government,motion_level,minimal,9,"Government UIs must minimize motion for accessibility",sector-motion
67,motion,sector,equals,gaming,motion_level,rich,6,"Gaming interfaces can use rich engaging animations",sector-motion
68,motion,sector,equals,entertainment,motion_level,rich,6,"Entertainment platforms benefit from dynamic motion",sector-motion
69,motion,product_type,equals,dashboard,motion_level,minimal,7,"Dashboards should minimize animation to avoid distraction",product-motion
70,motion,product_type,equals,landing-page,motion_level,moderate,6,"Landing pages benefit from scroll-reveal and entrance animations",product-motion
71,density,product_type,equals,dashboard,layout_density,dense,8,"Dashboards prioritize information density",product-density
72,density,product_type,equals,landing-page,layout_density,spacious,7,"Landing pages need generous whitespace for readability",product-density
73,density,product_type,equals,mobile-app,layout_density,moderate,7,"Mobile apps balance density with touch-friendly spacing",product-density
74,density,sector,equals,analytics,layout_density,dense,8,"Analytics products maximize data visibility",sector-density
75,density,sector,equals,luxury,layout_density,spacious,8,"Luxury products use generous whitespace",sector-density
76,typography,sector,equals,legal,font_preference,serif-headings,7,"Legal services benefit from authoritative serif typography",sector-typography
77,typography,sector,equals,finance,font_preference,professional-sans,7,"Finance uses clean professional sans-serif typography",sector-typography
78,typography,sector,equals,editorial,font_preference,serif-body,8,"Editorial content benefits from serif body text",sector-typography
79,typography,sector,equals,tech,font_preference,modern-sans,6,"Tech products use modern geometric sans-serif fonts",sector-typography
80,typography,sector,equals,devtools,font_preference,monospace-accent,8,"Developer tools incorporate monospace elements",sector-typography
81,color,sector,equals,healthcare,color_constraint,avoid-red-dominant,8,"Healthcare should avoid dominant red as it signals danger",sector-color
82,color,sector,equals,finance,color_constraint,use-blue-family,7,"Finance benefits from blue which signals trust and stability",sector-color
