id,name,library,license,style,sizes,tree_shakeable,default_color,best_for,url
1,Lucide,lucide-react,MIT,line,"16;20;24;32",yes,currentColor,"General purpose;SaaS;Dashboards;All components","https://lucide.dev"
2,Heroicons,heroicons,MIT,outline+solid,"20;24",yes,currentColor,"Marketing;Landing pages;Clean UI","https://heroicons.com"
3,Phosphor Icons,phosphor-icons,MIT,"thin;light;regular;bold;fill;duotone","16;20;24;32;48",yes,currentColor,"Versatile;Multiple weights;Design systems","https://phosphoricons.com"
4,Tabler Icons,tabler-icons,MIT,line,"24",yes,currentColor,"Dashboards;Admin panels;Data-heavy apps","https://tabler-icons.io"
5,Feather Icons,feather-icons,MIT,line,"24",yes,currentColor,"Minimal;Clean UI;SaaS","https://feathericons.com"
6,Radix Icons,radix-icons,MIT,line,"15",yes,currentColor,"Component libraries;Design systems;React","https://icons.radix-ui.com"
7,Material Symbols,material-symbols,Apache-2.0,"outlined;rounded;sharp","20;24;40;48",yes,currentColor,"Material Design;Android;Google-style","https://fonts.google.com/icons"
8,Bootstrap Icons,bootstrap-icons,MIT,outline+filled,"16;20;24;32",yes,currentColor,"Bootstrap projects;General purpose","https://icons.getbootstrap.com"
9,Remix Icons,remixicon,Apache-2.0,line+fill,"16;20;24",yes,currentColor,"General purpose;Modern UI","https://remixicon.com"
10,Iconoir,iconoir,MIT,line,"24",yes,currentColor,"Minimal;European style;Clean","https://iconoir.com"
11,Simple Icons,simple-icons,CC0-1.0,brand,"24",yes,brand-color,"Brand logos;Social icons;Tech logos","https://simpleicons.org"
12,Flagpack,flagpack,MIT,flag,"16;24;32",no,native,"Country flags;Language selectors;International","https://flagpack.xyz"
13,Payment Icons,payment-icons,MIT,brand,"32;48",no,native,"Checkout;Payment methods;E-commerce","N/A"
14,Weather Icons,weather-icons,SIL-OFL,filled,"24;32;48",no,currentColor,"Weather apps;Outdoor;Travel","https://erikflowers.github.io/weather-icons"
15,Font Awesome,font-awesome,CC-BY-4.0+commercial,"solid;regular;light;brands","16;20;24;32",yes,currentColor,"General purpose;Legacy projects;Comprehensive","https://fontawesome.com"
16,Lucide Home,lucide-react,MIT,line,"16;20;24;32",yes,currentColor,"Navigation;Homepage link;Breadcrumbs","https://lucide.dev/icons/home"
17,Lucide Search,lucide-react,MIT,line,"16;20;24;32",yes,currentColor,"Search bars;Search triggers;Filters","https://lucide.dev/icons/search"
18,Lucide Settings,lucide-react,MIT,line,"16;20;24;32",yes,currentColor,"Settings pages;Configuration;Preferences","https://lucide.dev/icons/settings"
19,Lucide User,lucide-react,MIT,line,"16;20;24;32",yes,currentColor,"User profiles;Avatars;Account menus","https://lucide.dev/icons/user"
20,Lucide Bell,lucide-react,MIT,line,"16;20;24;32",yes,currentColor,"Notifications;Alerts;Updates","https://lucide.dev/icons/bell"
