id,name,category,weights,style,mood,best_for,variable,url
1,Inter,sans-serif,"100;200;300;400;500;600;700;800;900",modern-neutral,"clean;professional;readable","Body text;UI elements;SaaS;Dashboards",yes,"https://fonts.google.com/specimen/Inter"
2,DM Sans,sans-serif,"100;200;300;400;500;600;700;800;900",geometric-friendly,"modern;friendly;clean","Headings;Marketing;Consumer apps",yes,"https://fonts.google.com/specimen/DM+Sans"
3,Plus Jakarta Sans,sans-serif,"200;300;400;500;600;700;800",contemporary-rounded,"modern;approachable;rounded","SaaS;Education;Consumer tech",yes,"https://fonts.google.com/specimen/Plus+Jakarta+Sans"
4,Manrope,sans-serif,"200;300;400;500;600;700;800",geometric-modern,"tech;clean;geometric","Tech products;Fintech;SaaS",yes,"https://fonts.google.com/specimen/Manrope"
5,Space Grotesk,sans-serif,"300;400;500;600;700",technical-modern,"futuristic;technical;modern","AI products;Crypto;Developer tools",yes,"https://fonts.google.com/specimen/Space+Grotesk"
6,Outfit,sans-serif,"100;200;300;400;500;600;700;800;900",balanced-versatile,"balanced;contemporary;versatile","General purpose;Marketing;Product UI",yes,"https://fonts.google.com/specimen/Outfit"
7,Sora,sans-serif,"100;200;300;400;500;600;700;800",futuristic-clean,"futuristic;clean;tech","Crypto;AI;Modern tech",yes,"https://fonts.google.com/specimen/Sora"
8,Oswald,sans-serif,"200;300;400;500;600;700",condensed-bold,"bold;dramatic;condensed","Fashion;Sports;Headlines;Lifestyle",yes,"https://fonts.google.com/specimen/Oswald"
9,Bebas Neue,sans-serif,"400",impact-display,"dramatic;impact;uppercase","Headlines;Posters;Fashion;Brutalist",no,"https://fonts.google.com/specimen/Bebas+Neue"
10,Montserrat,sans-serif,"100;200;300;400;500;600;700;800;900",geometric-versatile,"geometric;versatile;modern","General purpose;Corporate;Marketing",yes,"https://fonts.google.com/specimen/Montserrat"
11,Poppins,sans-serif,"100;200;300;400;500;600;700;800;900",rounded-friendly,"friendly;rounded;modern","Education;Consumer;Lifestyle apps",no,"https://fonts.google.com/specimen/Poppins"
12,Nunito,sans-serif,"200;300;400;500;600;700;800;900",soft-rounded,"soft;approachable;rounded","Kids;Education;Wellness;Friendly apps",yes,"https://fonts.google.com/specimen/Nunito"
13,Rubik,sans-serif,"300;400;500;600;700;800;900",geometric-playful,"geometric;playful;modern","Apps;Consumer products;Games",yes,"https://fonts.google.com/specimen/Rubik"
14,Work Sans,sans-serif,"100;200;300;400;500;600;700;800;900",practical-readable,"practical;readable;grotesk","SaaS;Enterprise;Content sites",yes,"https://fonts.google.com/specimen/Work+Sans"
15,Lexend,sans-serif,"100;200;300;400;500;600;700;800;900",readability-optimized,"accessible;readable;optimized","Accessibility;Education;Government",yes,"https://fonts.google.com/specimen/Lexend"
16,Source Serif 4,serif,"200;300;400;500;600;700;800;900",editorial-classic,"editorial;classic;readable","Publishing;News;Long-form;Editorial",yes,"https://fonts.google.com/specimen/Source+Serif+4"
17,Playfair Display,serif,"400;500;600;700;800;900",elegant-dramatic,"elegant;dramatic;high-contrast","Luxury;Fashion;Editorial;Premium",yes,"https://fonts.google.com/specimen/Playfair+Display"
18,Lora,serif,"400;500;600;700",literary-warm,"literary;warm;readable","Blogs;Books;Editorial;Long-form",yes,"https://fonts.google.com/specimen/Lora"
19,Merriweather,serif,"300;400;700;900",readable-traditional,"traditional;readable;authoritative","News;Legal;Government;Long-form",no,"https://fonts.google.com/specimen/Merriweather"
20,Crimson Pro,serif,"200;300;400;500;600;700;800;900",refined-literary,"refined;literary;scholarly","Academic;Publishing;Editorial",yes,"https://fonts.google.com/specimen/Crimson+Pro"
21,DM Serif Display,serif,"400",contrast-display,"contrast;elegant;display","Marketing headings;Luxury;Editorial",no,"https://fonts.google.com/specimen/DM+Serif+Display"
22,Fraunces,serif,"100;200;300;400;500;600;700;800;900",quirky-editorial,"quirky;editorial;characterful","Creative;Artisanal;Editorial;Food/drink",yes,"https://fonts.google.com/specimen/Fraunces"
23,Bitter,serif,"100;200;300;400;500;600;700;800;900",sturdy-readable,"sturdy;readable;warm","Content sites;News;Blogs",yes,"https://fonts.google.com/specimen/Bitter"
24,Libre Baskerville,serif,"400;700",traditional-refined,"traditional;refined;classic","Legal;Academic;Classic web",no,"https://fonts.google.com/specimen/Libre+Baskerville"
25,JetBrains Mono,monospace,"100;200;300;400;500;600;700;800",technical-precise,"technical;precise;code","Developer tools;Code blocks;Terminals",yes,"https://fonts.google.com/specimen/JetBrains+Mono"
26,Fira Code,monospace,"300;400;500;600;700",code-ligatures,"code;ligatures;technical","Code editors;Documentation;Dev tools",yes,"https://fonts.google.com/specimen/Fira+Code"
27,IBM Plex Mono,monospace,"100;200;300;400;500;600;700",enterprise-code,"enterprise;technical;IBM","Enterprise dev tools;Analytics;IBM ecosystem",no,"https://fonts.google.com/specimen/IBM+Plex+Mono"
28,Space Mono,monospace,"400;700",retro-technical,"retro;technical;distinctive","Creative tech;Portfolios;Vintage tech",no,"https://fonts.google.com/specimen/Space+Mono"
29,Roboto Mono,monospace,"100;200;300;400;500;600;700",google-standard,"clean;standard;technical","Material Design;Android;Google apps",yes,"https://fonts.google.com/specimen/Roboto+Mono"
30,Archivo,sans-serif,"100;200;300;400;500;600;700;800;900",strong-geometric,"strong;geometric;bold","Sports;Automotive;Bold headlines",yes,"https://fonts.google.com/specimen/Archivo"
31,Barlow,sans-serif,"100;200;300;400;500;600;700;800;900",slightly-rounded,"government;industrial;readable","Government;Industrial;Transportation",yes,"https://fonts.google.com/specimen/Barlow"
32,Figtree,sans-serif,"300;400;500;600;700;800;900",friendly-modern,"friendly;modern;approachable","SaaS;Consumer;Education",yes,"https://fonts.google.com/specimen/Figtree"
33,Albert Sans,sans-serif,"100;200;300;400;500;600;700;800;900",humanist-modern,"humanist;modern;warm","Healthcare;Wellness;Friendly professional",yes,"https://fonts.google.com/specimen/Albert+Sans"
34,Bricolage Grotesque,sans-serif,"200;300;400;500;600;700;800",quirky-distinctive,"quirky;distinctive;character","Creative;Branding;Startups",yes,"https://fonts.google.com/specimen/Bricolage+Grotesque"
35,Noto Sans,sans-serif,"100;200;300;400;500;600;700;800;900",universal-multilingual,"universal;multilingual;neutral","International;Government;Multilingual apps",yes,"https://fonts.google.com/specimen/Noto+Sans"
36,Noto Serif,serif,"100;200;300;400;500;600;700;800;900",universal-serif,"universal;multilingual;classic","International publications;Multilingual editorial",yes,"https://fonts.google.com/specimen/Noto+Serif"
37,Raleway,sans-serif,"100;200;300;400;500;600;700;800;900",elegant-thin,"elegant;thin;refined","Fashion;Photography;Premium",yes,"https://fonts.google.com/specimen/Raleway"
38,Quicksand,sans-serif,"300;400;500;600;700",rounded-geometric,"rounded;geometric;playful","Kids;Wellness;Consumer;Friendly",yes,"https://fonts.google.com/specimen/Quicksand"
39,Josefin Sans,sans-serif,"100;200;300;400;500;600;700",art-deco-modern,"art-deco;elegant;vintage","Fashion;Luxury;Creative",yes,"https://fonts.google.com/specimen/Josefin+Sans"
40,Urbanist,sans-serif,"100;200;300;400;500;600;700;800;900",sharp-modern,"sharp;modern;geometric","Fintech;Tech;Premium products",yes,"https://fonts.google.com/specimen/Urbanist"
41,Red Hat Display,sans-serif,"300;400;500;600;700;800;900",ibm-inspired,"professional;open-source;modern","Enterprise;Open source;Tech companies",yes,"https://fonts.google.com/specimen/Red+Hat+Display"
42,Atkinson Hyperlegible,sans-serif,"400;700",accessibility-first,"accessible;clear;distinguishable","Accessibility;Government;Senior-focused",no,"https://fonts.google.com/specimen/Atkinson+Hyperlegible"
