id,sector,anti_pattern,severity,description,alternative,example
1,finance,playful-animations,critical,"Bouncy or playful animations erode trust in financial products","Use subtle fade and slide transitions with --duration-fast","Don't use ease-spring on banking dashboards"
2,finance,neon-colors,critical,"Neon and bright saturated colors signal unprofessionalism in finance","Use navy blue and muted professional tones","Don't use #00FF88 as primary in banking apps"
3,finance,dark-themes,high,"Dark themes can feel untrustworthy to traditional banking demographics","Use light professional themes with blue tones","Default to Corporate palette not AI Futuristic"
4,finance,experimental-layouts,high,"Non-standard layouts create confusion in high-stakes financial tasks","Use conventional grid layouts with clear hierarchy","Don't use masonry or asymmetric layouts for transactions"
5,finance,casual-typography,high,"Casual or playful fonts undermine financial credibility","Use professional sans-serif or traditional serif fonts","Don't use Comfortaa or Comic-style fonts"
6,healthcare,aggressive-colors,critical,"Bright alarming colors cause anxiety in healthcare contexts","Use calming blues greens and neutral tones","Don't use #EF4444 as primary in patient portals"
7,healthcare,dark-themes,high,"Dark interfaces feel clinical cold and unwelcoming for patients","Use light calming themes with soft colors","Don't use AI Futuristic palette for healthcare"
8,healthcare,complex-animations,high,"Excessive motion can disorient patients especially elderly users","Use minimal predictable transitions","Don't use parallax or scroll-triggered animations"
9,healthcare,small-text,critical,"Small text is a critical accessibility failure in healthcare","Use 16px minimum body text with high contrast","Never go below 14px for any healthcare text"
10,healthcare,cluttered-layouts,high,"Dense cluttered layouts increase cognitive load for stressed patients","Use generous whitespace and clear visual hierarchy","Don't pack multiple CTAs above the fold"
11,education,dark-themes,moderate,"Dark themes can feel unwelcoming and hard to read for students","Use light friendly themes with warm colors","Default to Illustration palette not AI Futuristic"
12,education,angular-designs,moderate,"Sharp angular designs feel cold and intimidating for learners","Use rounded corners and soft shapes","Don't use Bold Lifestyle palette for education"
13,education,corporate-styling,moderate,"Corporate aesthetics feel boring and disengaging for students","Use friendly colorful illustration-forward design","Don't use Corporate palette for kids' education"
14,education,small-text,high,"Students including those with learning disabilities need readable text","Use larger text sizes with high contrast","Ensure minimum 16px body text for all education"
15,education,complex-navigation,high,"Complex navigation overwhelms learners especially children","Use simple clear navigation with visual cues","Limit primary nav to 5 items for education platforms"
16,government,trendy-designs,critical,"Government portals must prioritize accessibility over aesthetic trends","Use conservative accessible designs tested with screen readers","Don't use Glassmorphism or Neomorphism for gov sites"
17,government,playful-animations,high,"Government UIs need serious professional tone for credibility","Use minimal fade transitions only","Don't use bounce or spring animations"
18,government,neon-colors,high,"Neon colors are inappropriate for official government communications","Use accessible conservative color palettes","Use Corporate palette with high contrast"
19,government,low-contrast,critical,"Government sites must meet WCAG AAA for maximum accessibility","Ensure 7:1 contrast for text 4.5:1 for UI","Test all color combinations with contrast checker"
20,government,complex-forms,high,"Complex multi-step forms without progress frustrate citizens","Break forms into clear steps with progress indicator","Always show which step user is on and how many remain"
21,legal,playful-elements,high,"Playful design elements undermine legal authority and trust","Use serious professional conservative design","Don't use Illustration palette for law firms"
22,legal,bright-colors,moderate,"Bright saturated colors feel unprofessional for legal services","Use muted professional navy and gray tones","Use Minimal Corporate or Corporate palette"
23,legal,casual-typography,high,"Casual fonts destroy credibility in legal contexts","Use serif for authority or professional sans-serif","Use Source Serif 4 or Inter not Poppins"
24,legal,experimental-layouts,moderate,"Non-standard layouts confuse users seeking legal information","Use conventional structured layouts","Don't use asymmetric or masonry grid layouts"
25,luxury,busy-layouts,critical,"Cluttered layouts destroy the sense of exclusivity and premium quality","Use generous whitespace and minimal elements","Don't place more than 3 elements per viewport"
26,luxury,discount-badges,critical,"Sale badges and discount callouts destroy luxury brand perception","Communicate value through quality not discounts","Never show prices in red or use strikethrough pricing"
27,luxury,playful-elements,high,"Playful bouncy design undermines luxury sophistication","Use refined subtle elegant transitions","Don't use illustration-style rounded elements"
28,luxury,bright-gradients,high,"Vibrant gradients feel cheap and commercial for luxury brands","Use subtle monochromatic gradients or solid colors","Don't use Gradient Startup palette for luxury"
29,luxury,stock-photography,high,"Generic stock photos destroy luxury brand authenticity","Use custom photography with consistent art direction","Invest in original photography for luxury brands"
