id,category,guideline,priority,applies_to,rationale
1,navigation,Limit primary navigation to 5-7 items,9,all,"Miller's Law: working memory holds 7±2 items. More items cause decision paralysis."
2,navigation,Use breadcrumbs for hierarchies deeper than 2 levels,7,dashboard;ecommerce;documentation,"Users need wayfinding in deep hierarchies to avoid feeling lost."
3,navigation,Place primary CTA in top-right of navigation bar,8,landing-page;marketing,"Eye-tracking shows users scan top-right after logo. CTA there captures maximum attention."
4,navigation,Make mobile hamburger menu accessible via ARIA,9,all,"Mobile nav menus must be keyboard and screen-reader accessible."
5,navigation,Use sticky navigation on long-scroll pages,7,landing-page;blog;documentation,"Persistent nav reduces scroll-to-top friction and improves task completion."
6,forms,Validate on blur first then on change for subsequent edits,8,all,"Immediate validation is annoying. Blur-then-change balances feedback timing."
7,forms,Place labels above inputs not inline or beside,8,all,"Top-aligned labels have fastest completion time in eye-tracking studies."
8,forms,Use a single-column layout for forms,7,all,"Single column forms are 15% faster to complete than multi-column."
9,forms,Show password strength meter for signup,7,authentication,"Users create stronger passwords when given real-time feedback."
10,forms,Disable submit button during processing show spinner,8,all,"Prevents double-submission and gives users confidence action is processing."
11,forms,Scroll to first error on submit with smooth animation,7,all,"Users need immediate awareness of what went wrong and where."
12,forms,Group related fields with section headers,6,all,"Chunking reduces cognitive load and makes long forms feel manageable."
13,forms,Pre-fill known data to reduce entry burden,7,all,"WCAG 3.3.7 Redundant Entry: don't ask for info you already have."
14,buttons,Make primary CTAs visually dominant over secondary,9,all,"Visual hierarchy guides users to the most important action."
15,buttons,Minimum touch target 44x44px on mobile,9,mobile,"WCAG 2.5.8: touch targets below 44px cause tap errors on mobile."
16,buttons,Use verbs for button labels not nouns,7,all,"'Save Changes' is clearer than 'Changes'. Action-oriented labels reduce ambiguity."
17,buttons,Place primary action on the right secondary on left,7,all,"Western left-to-right reading pattern makes right position feel like forward progress."
18,buttons,Limit to 2 visible actions per context,7,all,"Too many buttons cause decision paralysis. Move extras to dropdown menus."
19,feedback,Show toast notifications for non-critical success,7,all,"Toasts are non-blocking and appropriate for confirmations like 'Saved'."
20,feedback,Use inline alerts for errors requiring user action,8,all,"Errors need persistent visible placement near the problem source."
21,feedback,Auto-dismiss success toasts after 5 seconds,6,all,"Success messages don't need persistent visibility. 5s gives time to read."
22,feedback,Pause toast auto-dismiss on hover,7,all,"Users reading a toast shouldn't lose it mid-sentence."
23,feedback,Limit concurrent toasts to 3 maximum,6,all,"Toast stacking beyond 3 creates visual noise and confusion."
